iter	Passed	Remaining
0	0	65
1	1	63
2	1	60
3	2	55
4	2	54
5	3	52
6	3	50
7	4	49
8	4	49
9	5	48
10	5	48
11	6	48
12	7	47
13	7	47
14	8	46
15	8	45
16	9	44
17	9	44
18	10	43
19	10	43
20	11	43
21	12	42
22	12	42
23	13	41
24	13	41
25	14	40
26	14	40
27	15	39
28	15	39
29	16	38
30	17	37
31	17	37
32	18	36
33	18	36
34	19	35
35	19	35
36	20	34
37	20	33
38	21	33
39	22	33
40	22	32
41	22	31
42	23	30
43	23	30
44	24	29
45	24	29
46	25	28
47	26	28
48	26	27
49	27	27
50	27	26
51	28	25
52	28	25
53	29	24
54	29	24
55	30	23
56	30	23
57	31	22
58	31	22
59	32	21
60	32	21
61	33	20
62	33	19
63	34	19
64	35	18
65	35	18
66	36	17
67	36	17
68	37	16
69	37	16
70	38	15
71	38	15
72	39	14
73	40	14
74	40	13
75	41	12
76	41	12
77	42	11
78	42	11
79	43	10
80	43	10
81	44	9
82	44	9
83	45	8
84	45	8
85	46	7
86	47	7
87	47	6
88	48	5
89	48	5
90	49	4
91	49	4
92	50	3
93	51	3
94	51	2
95	51	2
96	52	1
97	52	1
98	53	0
99	53	0
